"Parameter","Mean","SD","Lower_95","Upper_95"
"Female_Mean_Wing",77.6226560573532,0.117215156347219,77.393514680361,77.8568078606133
"Male_Effect_Wing",2.38668389993661,0.10526048607046,2.17962000148316,2.59477451790773
"Female_Mean_Beak",13.4031113922117,0.0356764880905829,13.3334784616491,13.4741039754337
"Male_Effect_Beak",-0.0721403737711695,0.0327268377249045,-0.136003694989642,-0.00699883639110578
"Loading_Wing",0.615919848921567,0.020213954840892,0.576569603426292,0.655596239790988
"Loading_Beak",0.643159035739755,0.0235886846574405,0.596958101691678,0.68966436567445
"VA_Wing",1.30765272231011,0.184009193956118,0.966134668009673,1.68433207286382
"VA_Beak",0.117242101016855,0.0165471566968762,0.0864961088585359,0.151433565152233
"VR_Wing",3.99256659308755,0.126523624604246,3.75049052771692,4.24550682797861
"VR_Beak",0.436048279483794,0.0136367889548197,0.409876832981164,0.463014786441261
"h2_Wing",0.183281559472874,0.0234528514630543,0.138800863913086,0.230002743778931
"h2_Beak",0.163288253137005,0.0209897451808584,0.123601348201568,0.205351194899243
"h2_Wing_Indiv_Only",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
"h2_Beak_Indiv_Only",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
"h2_Latent_Size",0.416775639891023,0.0462712267087525,0.325873883305991,0.506371226233913
